phase;numero;dossierMulti;dossier;ordseq;rubrique;rubrique4Erudit;id;titre;datePub;dateModif;auteurs;keywords;directeur;statut;phase
;1996;;;;55;55;218;2. Auteurs;1996-02-16 21:01:00;2010-04-25 05:12:33;;;Gérard Wormser;;
;1996;;;;55;55;248;8. Rss;1996-03-01 13:53:00;2008-09-22 12:45:25;;;Gérard Wormser;;
;2000;;;;55;55;213;7. Plan;2000-12-17 07:09:00;2008-09-13 11:22:59;;;Gérard Wormser;;
;2003;;542;1;58;58;9;Discours médical et construction des catégories homme/femme, masculin/féminin;2003-06-10 18:02:17;2011-04-04 06:56:10;#Nicole  Edelman;#Beauvoir (de), Simone;Gérard Wormser;;
;2003;;542;2;58;58;44;Mouvement féministe, mouvement homosexuel : un dialogue;2003-09-21 11:19:00;2012-09-06 11:55:39;#Françoise  Collin;#Genres #Beauvoir (de), Simone #Philosophie #Politique et société #Sexualité #Homosexualité;Gérard Wormser;;
;2003;;542;3;58;58;41;La conception sexuelle de la création artistique;2003-10-06 19:06:46;2011-08-09 15:59:26;#Radana Zvakova;#Genres #Arts et lettres;Gérard Wormser;;
;2003;;542;4;58;58;43;Déconstruction/destruction des rapports de sexes;2003-10-06 19:17:01;2011-12-13 19:45:14;#Françoise  Collin;#Genres #Beauvoir (de), Simone #Philosophie #Politique et société #Foucault, Michel #Marx, Karl #Universalisme #Homosexualité #Wittig, Monique #Capitalisme;Gérard Wormser;;
;2003;;542;5;58;58;45;Genre et fait religieux;2003-10-06 19:20:36;2011-12-13 19:44:06;#Mathilde Dubesset;#Beauvoir (de), Simone;Gérard Wormser;;
;2003;;542;6;58;58;46;Les approches de la participation des femmes en Europe post-communiste : enjeux et débats;2003-10-06 19:23:05;2011-06-21 16:53:23;#Maxime  Forrest;#Genres #Politique et société #Europe #Milieu politique #Démocratie #Espace public #Socialisme et Communisme #Éducation et enseignement;Gérard Wormser;;
;2003;;542;7;58;58;47;Conditions de vie des femmes cadres tchèques;2003-10-06 19:26:36;2011-05-19 08:07:30;#Alena  Križková;#Genres #Politique et société #Europe #Travail et emploi;Gérard Wormser;;
;2003;;542;8;58;58;48;Lévinas et le sexe faible;2003-10-06 19:28:00;2011-12-13 19:45:52;#Pavel Stichauer;;Gérard Wormser;;
;2003;;542;9;58;58;49;L'art féminin ou l'art des femmes ?;2003-10-06 19:30:31;2011-11-16 18:05:26;#Miroslava Grajciarova;;Gérard Wormser;;
;2003;;542;10;58;58;50;L'ironie, la vertu de l'écriture féminine ? L'exemple de Jaroslava Blaûkovà;2003-10-06 19:34:04;2011-12-13 19:46:27;#Stanislava Moysova;#Beauvoir (de), Simone;Gérard Wormser;;
;2003;;542;11;58;58;51;La différence des sexes en tant que fondement de la vision et de la division du monde;2003-10-06 19:35:52;2011-12-13 19:44:41;#Radka  Radimska;;Gérard Wormser;;
;2003;;542;12;58;58;52;La différence des sexes dans l'œuvre de Paul Virilio;2003-10-06 19:37:51;2010-10-10 02:22:49;#Petr     Tuma;#Virilio, Paul;Gérard Wormser;;
;2003;;542;13;58;58;53;Le fourgon et la pelle. Discours sur les femmes et discours du féminin dans les Essais de Montaigne;2003-10-10 16:26:42;2011-08-09 15:49:06;#Madeleine Valette-Fondo;#Montaigne;Gérard Wormser;;
;2003;;;1;58;58;58;Réflexions sur le désespoir moderne;2003-10-04 16:53:00;2011-06-24 13:46:16;#Elisabeth Rosa #Leila Slimani;#Arts et lettres #Philosophie #Politique et société #Rimbaud #Spinoza;Gérard Wormser;;
;2003;;;2;58;58;66;Economie et philosophie chez Adam Smith;2003-10-10 17:15:00;2011-06-08 05:58:30;#Jean-François  Sicard;#Smith, Adam #Voltaire;Gérard Wormser;;
;2003;;;3;58;58;56;Une société sans pensée utopique est-elle concevable ?;2003-10-11 16:48:00;2008-01-11 12:37:07;#Jean Montenot;#Philosophie #Politique et société #Simon, Claude #Gide, André #Weber, Max #Rousseau #Hobbes, Thomas #Marx, Karl #Utopie #Publicité;Gérard Wormser;;
;2003;;;4;58;58;59;Élitisme et délibération dans la pensée politique de Pierre Bourdieu;2003-10-20 16:56:00;2008-05-20 12:33:45;#Julien Talpin;#Politique et société #Weber, Max #Bourdieu, Pierre #Rousseau #Démocratie #Espace public #France;Gérard Wormser;;
;2003;;;5;113;113;54;Conversation avec Régis Debray;2003-10-10 16:32:15;2011-04-20 03:03:42;#Gérard Wormser #Michèle Narvaez #Paul Zawadzki #Régis Debray;;Gérard Wormser;;
;2003;;;6;76;76;42;La communication littéraire;2003-10-06 19:15:18;2011-11-03 15:05:34;#Jan Drengubiak;;Gérard Wormser;;
;2004;;542;1;58;58;96;"""Et Dieu créa la femme..."" La condition féminine chez Jean-Jacques Rousseau";2004-09-20 11:53:56;2011-08-09 15:37:29;#Anna Durnova;#Rousseau;Gérard Wormser;;
